Amount,Description,Place
"$1,500 monthly","3 room apartment in a new building on Antarayin Street, 120 sq.m., 3/11 floor, 3+ bathrooms","Kentron, 3 rm., 120 sq.m., 3/11 floor"
"280,000 ֏ monthly","3 room apartment on Komitas Avenue, 74 sq.m., second to last floor, euro renovation, stone building","Arabkir, 3 rm., 74 sq.m., 4/5 floor"
"280,000 ֏ monthly","3 room apartment on Azatutyan Avenue, 70 sq.m., 2/5 floor, major renovation, stone building","Arabkir, 3 rm., 70 sq.m., 2/5 floor"
"€1,800 monthly","3 room apartment on Yeznik Koghbatsi Street, 86 sq.m., 6/9 floor, 2 bathrooms, major renovation","Kentron, 3 rm., 86 sq.m., 6/9 floor"
"240,000 ֏ monthly","3 room apartment on Hrachya Kochar Street, 80 sq.m., second to last floor, high ceilings","Arabkir, 3 rm., 80 sq.m., 8/9 floor"
"$1,700 monthly","3 room apartment in a new building, Մեսրոպ Մաշտոցի պողոտա, 115 sq.m., 10/12 floor, 2 bathrooms","Kentron, 3 rm., 115 sq.m., 10/12 floor"
"300,000 ֏ monthly","2 room apartment on Tumanyan Street, 65 sq.m., 2/4 floor, major renovation, stone building","Kentron, 2 rm., 65 sq.m., 2/4 floor"
"400,000 ֏ monthly","3 room apartment on Glinka Street, 73 sq.m., second to last floor, high ceilings, major renovation","Erebuni, 3 rm., 73 sq.m., 2/3 floor"
$900 monthly,"2 room apartment in a new building on Gevorg Emin Street, 50 sq.m., 3/7 floor, high ceilings","Kentron, 2 rm., 50 sq.m., 3/7 floor"
"$1,500 monthly","3 room apartment in a new building on SasnaTsrer street, 100 sq.m., 13/18 floor, 2 bathrooms","Davtashen, 3 rm., 100 sq.m., 13/18 floor"
"490,000 ֏ monthly","2 room apartment in a new building on Amiryan Street, 61 sq.m., 9/12 floor, high ceilings","Kentron, 2 rm., 61 sq.m., 9/12 floor"
"$4,000 monthly","5 room apartment in a new building, Northern Avenue, 210 sq.m., 8/10 floor, 3+ bathrooms","Kentron, 5 rm., 210 sq.m., 8/10 floor"
"$2,500 monthly","Spacious 4 room apartment in a new building, Pavstos Buzand Street, 220 sq.m., 3/15 floor","Kentron, 4 rm., 220 sq.m., 3/15 floor"
"$2,300 monthly","3 room apartment in a new building on Northern Avenue, 150 sq.m., 2 bathrooms, high ceilings","Kentron, 3 rm., 150 sq.m., 8/8 floor"
"$4,000 monthly","6 room apartment on Hanrapetutyan Street, 230 sq.m., second to last floor, 3+ bathrooms","Kentron, 6 rm., 230 sq.m., 5/6 floor"
"340,000 ֏ monthly","4 room apartment, Արամ Խաչատրյանի փողոց, 127 sq.m., 2/5 floor, 2 bathrooms, major renovation","Arabkir, 4 rm., 127 sq.m., 2/5 floor"
"300,000 ֏ monthly","3 room apartment on Yervand Kochar Street, 70 sq.m., second to last floor, 2 bathrooms","Kentron, 3 rm., 70 sq.m., 4/5 floor"
"275,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 50 sq.m., 5/14 floor, high ceilings","Ajapnyak, 2 rm., 50 sq.m., 5/14 floor"
"$3,000 monthly","4 room apartment in a new building on Leo Street, 140 sq.m., 4/18 floor, 3+ bathrooms, high ceilings","Kentron, 4 rm., 140 sq.m., 4/18 floor"
"260,000 ֏ monthly","2 room apartment in a new building on Rubinyants Street, 50 sq.m., 11/14 floor, high ceilings","Kanaker-Zeytun, 2 rm., 50 sq.m., 11/14 floor"
"$1,500 monthly","3 room apartment in a new building on Aram Street, 100 sq.m., 10/14 floor, high ceilings","Kentron, 3 rm., 100 sq.m., 10/14 floor"
"$2,200 monthly","3 room apartment in a new building on Pavstos Buzand Street, 130 sq.m., 2 bathrooms, high ceilings","Kentron, 3 rm., 130 sq.m., 17/17 floor"
"$1,600 monthly","3 room apartment on Mashtots Avenue, 122 sq.m., 9/13 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 122 sq.m., 9/13 floor"
"700,000 ֏ monthly","3 room apartment in a new building on Amiryan Street, 80 sq.m., 6/12 floor, 2 bathrooms","Kentron, 3 rm., 80 sq.m., 6/12 floor"
"$2,800 monthly","3 room apartment in a new building on Yeznik Koghbatsi Street, 112 sq.m., 14/18 floor, 2 bathrooms","Kentron, 3 rm., 112 sq.m., 14/18 floor"
"$1,500 monthly","2 room apartment in a new building on Antarayin Street, 55 sq.m., 3/5 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 3/5 floor"
"240,000 ֏ monthly","1 room apartment on Aram Street, 50 sq.m., 6/9 floor, high ceilings, major renovation","Kentron, 1 rm., 50 sq.m., 6/9 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Մհեր Մկրտչյան թաղ. 2-րդ փողոց, 80 sq.m., second to last floor","Avan, 2 rm., 80 sq.m., 4/5 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Tsitsernakaberd Highway, 95 sq.m., 12/20 floor, 2 bathrooms","Kentron, 3 rm., 95 sq.m., 12/20 floor"
"320,000 ֏ monthly","3 room apartment in a new building on Griboyedov Street, 100 sq.m., 9/16 floor, high ceilings","Arabkir, 3 rm., 100 sq.m., 9/16 floor"
"210,000 ֏ monthly","3 room apartment on Estonakan Street, 67 sq.m., 3/12 floor, major renovation","Ajapnyak, 3 rm., 67 sq.m., 3/12 floor"
"280,000 ֏ monthly","3 room apartment on Tigran Mets Avenue, 62 sq.m., 2/5 floor, designer renovation, stone building","Kentron, 3 rm., 62 sq.m., 2/5 floor"
"350,000 ֏ monthly","3 room apartment on Yeznik Koghbatsi Street, 70 sq.m., 2/4 floor, high ceilings, major renovation","Kentron, 3 rm., 70 sq.m., 2/4 floor"
"280,000 ֏ monthly","3 room apartment on Baghramyan Avenue, 70 sq.m., 3/6 floor, cosmetic renovation, stone building","Kentron, 3 rm., 70 sq.m., 3/6 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Nairi Zaryan Street, 75 sq.m., second to last floor","Arabkir, 3 rm., 75 sq.m., 15/16 floor"
"120,000 ֏ monthly","1 room apartment in a new building on Bashinjaghyan Street, 25 sq.m., 1/3 floor, cosmetic renovation","Ajapnyak, 1 rm., 25 sq.m., 1/3 floor"
"400,000 ֏ monthly","4 room apartment in a new building, Դավթաշենի 4-րդ զանգված, 100 sq.m., 9/11 floor, high ceilings","Davtashen, 4 rm., 100 sq.m., 9/11 floor"
"300,000 ֏ monthly","2 room apartment on Griboyedov Street, 45 sq.m., 1/5 floor, major renovation, stone building","Arabkir, 2 rm., 45 sq.m., 1/5 floor"
"250,000 ֏ monthly","3 room apartment in a new building, Norashen Quarter, 60 sq.m., second to last floor","Ajapnyak, 3 rm., 60 sq.m., 12/13 floor"
"220,000 ֏ monthly","3 room apartment, Shinararner Street, 80 sq.m., 2/9 floor, euro renovation","Ajapnyak, 3 rm., 80 sq.m., 2/9 floor"
"270,000 ֏ monthly","3 room apartment in a new building, Monte Melkonyan Street, 100 sq.m., second to last floor","Malatia-Sebastia, 3 rm., 100 sq.m., 16/17 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Argishti Street, 55 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 55 sq.m., 2/3 floor"
"300,000 ֏ monthly","1 room apartment, Մարշալ Բաղրամյան պողոտա, 47 sq.m., 5/9 floor, euro renovation","Arabkir, 1 rm., 47 sq.m., 5/9 floor"
"300,000 ֏ monthly","2 room apartment in a new building in Ajapnyak, 74 sq.m., 10/16 floor, high ceilings","Ajapnyak, 2 rm., 74 sq.m., 10/16 floor"
"$1,400 monthly","3 room apartment in a new building, Գրիբոյեդով փողոց, 75 sq.m., 3/16 floor, high ceilings","Arabkir, 3 rm., 75 sq.m., 3/16 floor"
"315,000 ֏ monthly","3 room apartment on Avet Avetisyan Street, 105 sq.m., 1/5 floor, multiple balconies, euro renovation","Arabkir, 3 rm., 105 sq.m., 1/5 floor"
"$2,000 monthly","4 room apartment in a new building on Sarmen street, 135 sq.m., 8/11 floor, 2 bathrooms","Kentron, 4 rm., 135 sq.m., 8/11 floor"
"290,000 ֏ monthly","3 room apartment on Chekhov Street, 100 sq.m., major renovation","Shengavit, 3 rm., 100 sq.m., 10/10 floor"
"90,000 ֏ monthly","2 room apartment on Miasnikyan Street, 1 sq.m., second to last floor, partial renovation","Vanadzor, 2 rm., 1 sq.m., 4/5 floor"
"450,000 ֏ monthly","3 room apartment on Adonts Street, 86 sq.m., 1/5 floor, major renovation, stone building","Arabkir, 3 rm., 86 sq.m., 1/5 floor"
"170,000 ֏ monthly","1 room apartment on Halabyan Street, 42 sq.m., 2/14 floor, cosmetic renovation","Ajapnyak, 1 rm., 42 sq.m., 2/14 floor"
"220,000 ֏ monthly","2 room apartment in a new building in Davtashen 4th Block, 60 sq.m., 5/9 floor, high ceilings","Davtashen, 2 rm., 60 sq.m., 5/9 floor"
"240,000 ֏ monthly","2 room apartment on Hrachya Kochar Street, 45 sq.m., 5/10 floor, major renovation","Arabkir, 2 rm., 45 sq.m., 5/10 floor"
"250,000 ֏ monthly","3 room apartment in a new building on Hrachya Nersisyan Street, 128 sq.m., 8/14 floor, 2 bathrooms","Kanaker-Zeytun, 3 rm., 128 sq.m., 8/14 floor"
"230,000 ֏ monthly","2 room apartment in a new building on Grigor Hasratyan Street, 60 sq.m., second to last floor","Ajapnyak, 2 rm., 60 sq.m., 13/14 floor"
"280,000 ֏ monthly","2 room apartment on Kajaznuni Street, 72 sq.m., 2/9 floor, euro renovation","Kentron, 2 rm., 72 sq.m., 2/9 floor"
"130,000 ֏ monthly","1 room apartment in a new building, Antarayin 1st blok, 32 sq.m., second to last floor","Tsakhkadzor, 1 rm., 32 sq.m., 11/12 floor"
"250,000 ֏ monthly","2 room apartment on Baghramyan Avenue, 70 sq.m., 1/5 floor, major renovation, stone building","Arabkir, 2 rm., 70 sq.m., 1/5 floor"
"400,000 ֏ monthly","2 room apartment in a new building, Baghramyan Avenue, 56 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 56 sq.m., 16/17 floor"
"500,000 ֏ monthly","3 room apartment in a new building on Gyulbenkyan Street, 110 sq.m., 9/14 floor, high ceilings","Arabkir, 3 rm., 110 sq.m., 9/14 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Tsarav Akhpyur Street, 75 sq.m., 9/16 floor, high ceilings","Avan, 2 rm., 75 sq.m., 9/16 floor"
"300,000 ֏ monthly","2 room apartment on Armen Tigranyan Street, 70 sq.m., 7/9 floor, designer renovation, stone building","Kanaker-Zeytun, 2 rm., 70 sq.m., 7/9 floor"
"$3,000 monthly","3 room apartment in a new building on Yekmalyan Street, 132 sq.m., 15/18 floor, 3+ bathrooms","Kentron, 3 rm., 132 sq.m., 15/18 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Verin Antarayin street, 35 sq.m., second to last floor","Arabkir, 2 rm., 35 sq.m., 7/8 floor"
"280,000 ֏ monthly","2 room apartment in a new building, Sasna Tsrer Street, 73 sq.m., 10/18 floor, high ceilings","Davtashen, 2 rm., 73 sq.m., 10/18 floor"
"90,000 ֏ monthly","3 room apartment, 8-րդ թաղամաս, 78 sq.m., 1/6 floor, high ceilings, partial renovation","Charentsavan, 3 rm., 78 sq.m., 1/6 floor"
"450,000 ֏ monthly","3 room apartment in a new building, Սերո Խանզադյան փողոց, 100 sq.m., 13/17 floor, 2 bathrooms","Nork-Marash, 3 rm., 100 sq.m., 13/17 floor"
"$1,500 monthly","3 room apartment in a new building, Վերին Անտառային փողոց, 96 sq.m., 2/5 floor, 2 bathrooms","Kentron, 3 rm., 96 sq.m., 2/5 floor"
"500,000 ֏ monthly","4 room apartment on Tumanyan Street, 110 sq.m., second to last floor, high ceilings","Kentron, 4 rm., 110 sq.m., 3/4 floor"
"$7,000 monthly","Spacious 4 room apartment in a new building, Փավստոս Բուզանդի փողոց, 245 sq.m., 13/17 floor","Kentron, 4 rm., 245 sq.m., 13/17 floor"
"$2,200 monthly","3 room apartment in a new building, Պարոնյանի փողոց, 121 sq.m., 7/14 floor, 2 bathrooms","Kentron, 3 rm., 121 sq.m., 7/14 floor"
"100,000 ֏ monthly","2 room apartment on Garegin Nzhdeh Street, 54 sq.m., partial renovation, stone building","Aparan, 2 rm., 54 sq.m., 4/4 floor"
"$2,000 monthly","Spacious 3 room apartment in a new building, Մհեր Մկրտչյան թաղ. 2-րդ փողոց, 300 sq.m., 2 bathrooms","Avan, 3 rm., 300 sq.m., 5/5 floor"
"$3,000 monthly","3 room apartment in a new building on Yekmalyan Street, 141 sq.m., 13/18 floor, 3+ bathrooms","Kentron, 3 rm., 141 sq.m., 13/18 floor"
"240,000 ֏ monthly","3 room apartment on Arshakunyats Avenue, 80 sq.m., second to last floor, cosmetic renovation","Kentron, 3 rm., 80 sq.m., 4/5 floor"
"$2,000 monthly","4 room apartment in a new building on Vardanants Street, 170 sq.m., 17/23 floor, 3+ bathrooms","Kentron, 4 rm., 170 sq.m., 17/23 floor"
"400,000 ֏ monthly","4 room apartment in a new building on Nikoghayos Tigranyan Street, 96 sq.m., 8/14 floor, 2 bathrooms","Arabkir, 4 rm., 96 sq.m., 8/14 floor"
"250,000 ֏ monthly","1 room apartment on Moskovyan Street, 40 sq.m., 2/5 floor, high ceilings, major renovation","Kentron, 1 rm., 40 sq.m., 2/5 floor"
"$1,200 monthly","2 room apartment in a new building on Arshakunyats Avenue, 52 sq.m., 8/18 floor, high ceilings","Kentron, 2 rm., 52 sq.m., 8/18 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Leningradyan Street, 61 sq.m., 7/16 floor, high ceilings","Ajapnyak, 2 rm., 61 sq.m., 7/16 floor"
"250,000 ֏ monthly","3 room apartment, Davtashen 4th Block, 96 sq.m., 3/9 floor, multiple balconies, euro renovation","Davtashen, 3 rm., 96 sq.m., 3/9 floor"
"260,000 ֏ monthly","3 room apartment in a new building, Anastas Mikoyan Street, 74 sq.m., 12/18 floor, high ceilings","Davtashen, 3 rm., 74 sq.m., 12/18 floor"
$900 monthly,"3 room apartment in a new building, Argishti, 80 sq.m., 3/9 floor, high ceilings","Kentron, 3 rm., 80 sq.m., 3/9 floor"
"$1,600 monthly","5 room apartment in a new building on Pushkin Street, 174 sq.m., 3/7 floor, 2 bathrooms","Kentron, 5 rm., 174 sq.m., 3/7 floor"
"360,000 ֏ monthly","3 room apartment in a new building, Անաստաս Միկոյանի փողոց, 74 sq.m., high ceilings, euro renovation","Davtashen, 3 rm., 74 sq.m., 18/18 floor"
"380,000 ֏ monthly","2 room apartment in a new building on Tigran Petrosyan street, 91 sq.m., 2/5 floor, 2 bathrooms","Davtashen, 2 rm., 91 sq.m., 2/5 floor"
"270,000 ֏ monthly","2 room apartment in a new building, Sasna Tsrer Street, 73 sq.m., 10/18 floor, high ceilings","Davtashen, 2 rm., 73 sq.m., 10/18 floor"
"390,000 ֏ monthly","2 room apartment in a new building on Amiryan Street, 55 sq.m., 6/9 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 6/9 floor"
"380,000 ֏ monthly","3 room apartment, Մովսես Խորենացու փողոց, 103 sq.m., 2/9 floor, multiple balconies, major renovation","Kentron, 3 rm., 103 sq.m., 2/9 floor"
"280,000 ֏ monthly","2 room apartment in a new building, Argishti Street, 59 sq.m., 11/14 floor, multiple balconies","Kentron, 2 rm., 59 sq.m., 11/14 floor"
"399,999 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 55 sq.m., 12/18 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 12/18 floor"
"200,000 ֏ monthly","2 room apartment on Azatutyan Avenue, 50 sq.m., 6/9 floor, major renovation","Arabkir, 2 rm., 50 sq.m., 6/9 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 75 sq.m., 12/14 floor, high ceilings","Ajapnyak, 3 rm., 75 sq.m., 12/14 floor"
"450,000 ֏ monthly","2 room apartment in a new building on Yeznik Koghbatsi Street, 72 sq.m., 5/14 floor, 2 bathrooms","Kentron, 2 rm., 72 sq.m., 5/14 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Agatangeghos Street, 88 sq.m., 9/11 floor, 2 bathrooms","Kentron, 3 rm., 88 sq.m., 9/11 floor"
"440,000 ֏ monthly","2 room apartment in a new building, Amiryan Street near the Republic square, 84 sq.m., 9/16 floor","Kentron, 2 rm., 84 sq.m., 9/16 floor"
"450,000 ֏ monthly","4 room apartment, Abovyan Street, 111 sq.m., 3/5 floor, cosmetic renovation, stone building","Kentron, 4 rm., 111 sq.m., 3/5 floor"
"320,000 ֏ monthly","3 room apartment on Komitas Avenue, 83 sq.m., second to last floor, 2 bathrooms, major renovation","Arabkir, 3 rm., 83 sq.m., 8/9 floor"
"350,000 ֏ monthly","2 room apartment, Moskovyan Street, 67 sq.m., high ceilings, euro renovation, stone building","Kentron, 2 rm., 67 sq.m., 6/6 floor"
"400,000 ֏ monthly","4 room apartment on Tumanyan Street, 101 sq.m., 4/9 floor, 2 bathrooms, designer renovation","Kentron, 4 rm., 101 sq.m., 4/9 floor"
"425,000 ֏ monthly","3 room apartment in a new building, Verin Antarayin Street, 67 sq.m., second to last floor","Kentron, 3 rm., 67 sq.m., 3/4 floor"
"450,000 ֏ monthly","4 room apartment in a new building on Leningradyan Street, 110 sq.m., 4/15 floor, 2 bathrooms","Ajapnyak, 4 rm., 110 sq.m., 4/15 floor"
"$1,000 monthly","2 room apartment, Teryan Street, 76 sq.m., second to last floor, high ceilings, euro renovation","Kentron, 2 rm., 76 sq.m., 6/7 floor"
"$1,400 monthly","2 room apartment in a new building on Teryan Street, 71 sq.m., high ceilings, designer renovation","Kentron, 2 rm., 71 sq.m., 5/5 floor"
"580,000 ֏ monthly","3 room apartment in a new building on Aram Street, 95 sq.m., high ceilings, designer renovation","Kentron, 3 rm., 95 sq.m., 15/15 floor"
"$1,300 monthly","2 room apartment in a new building on Derenik Demirchyan Street, 65 sq.m., 4/9 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 4/9 floor"
"$1,300 monthly","3 room apartment on Tumanyan Street, 90 sq.m., 2/5 floor, designer renovation, stone building","Kentron, 3 rm., 90 sq.m., 2/5 floor"
"280,000 ֏ monthly","3 room apartment in a new building on Tsarav Akhpyur Street, 100 sq.m., 11/14 floor, 2 bathrooms","Avan, 3 rm., 100 sq.m., 11/14 floor"
"220,000 ֏ monthly","2 room apartment on Halabyan Street, 51 sq.m., major renovation, stone building","Ajapnyak, 2 rm., 51 sq.m., 4/4 floor"
"130,000 ֏ monthly","2 room apartment in a new building on Khachik Muradyan Street, 54 sq.m., 2/8 floor, major renovation","Tsakhkadzor, 2 rm., 54 sq.m., 2/8 floor"
"400,000 ֏ monthly","3 room apartment in a new building, Nersisyan Street Blind Alley, 94 sq.m., 12/18 floor","Kanaker-Zeytun, 3 rm., 94 sq.m., 12/18 floor"
"350,000 ֏ monthly","3 room apartment on Tigran Mets Avenue, 96 sq.m., 9/15 floor, multiple balconies, major renovation","Kentron, 3 rm., 96 sq.m., 9/15 floor"
"215,000 ֏ monthly","2 room apartment on Hrachya Kochar Street, 30 sq.m., 2/5 floor, cosmetic renovation, stone building","Arabkir, 2 rm., 30 sq.m., 2/5 floor"
"360,000 ֏ monthly","4 room apartment in a new building, Երկաթուղայինների 3-րդ փողոց, 113 sq.m., 2/2 floor, 2 bathrooms","Erebuni, 4 rm., 113 sq.m., 2/2 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Pavstos Buzand Street, 65 sq.m., 6/15 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 6/15 floor"
"$1,500 monthly","3 room apartment, Pushkin Street near the Republic square, 85 sq.m., 2/5 floor, high ceilings","Kentron, 3 rm., 85 sq.m., 2/5 floor"
"440,000 ֏ monthly","3 room apartment, Abovyan Street, 101 sq.m., 3/5 floor, high ceilings, designer renovation","Kentron, 3 rm., 101 sq.m., 3/5 floor"
"350,000 ֏ monthly","2 room apartment, Sayat-Nova Avenue near the opera, 66 sq.m., 6/12 floor, designer renovation","Kentron, 2 rm., 66 sq.m., 6/12 floor"
"$1,000 monthly","2 room apartment in a new building on Hin Yerevantsu Street, 60 sq.m., 9/11 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 9/11 floor"
"450,000 ֏ monthly","3 room apartment in a new building, Sayat-Nova Avenue, 119 sq.m., 9/15 floor, high ceilings","Kentron, 3 rm., 119 sq.m., 9/15 floor"
"$2,300 monthly","4 room apartment in a new building on Pavstos Buzand Street, 145 sq.m., 13/17 floor, 2 bathrooms","Kentron, 4 rm., 145 sq.m., 13/17 floor"
"270,000 ֏ monthly","2 room apartment, Saryan Street, 51 sq.m., second to last floor, euro renovation","Kentron, 2 rm., 51 sq.m., 8/9 floor"
"$2,000 monthly","3 room apartment in a new building on Abovyan Street, 140 sq.m., 5/14 floor, 2 bathrooms","Kentron, 3 rm., 140 sq.m., 5/14 floor"
"420,000 ֏ monthly","3 room apartment, Mashtots Avenue, 70 sq.m., 5/9 floor, major renovation","Kentron, 3 rm., 70 sq.m., 5/9 floor"
"$1,900 monthly","3 room apartment in a new building on Amiryan Street, 103 sq.m., 14/18 floor, 2 bathrooms","Kentron, 3 rm., 103 sq.m., 14/18 floor"
"700,000 ֏ monthly","2 room apartment in a new building, Sayat-Nova Avenue, 92 sq.m., 15/21 floor, high ceilings","Kentron, 2 rm., 92 sq.m., 15/21 floor"
"$1,200 monthly","2 room apartment in a new building on Amiryan Street, 60 sq.m., 9/11 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 9/11 floor"
"330,000 ֏ monthly","2 room apartment, Hanrapetutyan Street near Vernissage, 61 sq.m., 1/3 floor, high ceilings","Kentron, 2 rm., 61 sq.m., 1/3 floor"
"150,000 ֏ monthly","2 room apartment in a new building, Գարեգին Նժդեհ պողոտա, 55 sq.m., second to last floor","Gyumri, 2 rm., 55 sq.m., 2/3 floor"
"$1,000 monthly","2 room apartment on Nalbandyan Street Lane, 55 sq.m., 3/10 floor, euro renovation, stone building","Kentron, 2 rm., 55 sq.m., 3/10 floor"
"600,000 ֏ monthly","2 room apartment in a new building on Paronyan Street, 81 sq.m., high ceilings, euro renovation","Kentron, 2 rm., 81 sq.m., 13/13 floor"
"$1,500 monthly","3 room apartment in a new building on Sayat-Nova Avenue, 100 sq.m., 8/11 floor, 2 bathrooms","Kentron, 3 rm., 100 sq.m., 8/11 floor"
"350,000 ֏ monthly","2 room apartment on Derenik Demirchyan street, 50 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 50 sq.m., 5/6 floor"
"$3,500 monthly","3 room apartment in a new building, Aram Street, 135 sq.m., 12/15 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 135 sq.m., 12/15 floor"
"400,000 ֏ monthly","2 room apartment, Moskovyan Street, 51 sq.m., 2/5 floor, high ceilings, major renovation","Kentron, 2 rm., 51 sq.m., 2/5 floor"
"$2,400 monthly","3 room apartment in a new building on Teryan Street, 150 sq.m., 16/18 floor, 2 bathrooms","Kentron, 3 rm., 150 sq.m., 16/18 floor"
"320,000 ֏ monthly","4 room apartment in a new building in Davtashen 4th Block, 100 sq.m., 9/11 floor, high ceilings","Davtashen, 4 rm., 100 sq.m., 9/11 floor"
"$1,350 monthly","2 room apartment in a new building on Aram Street, 80 sq.m., 9/16 floor, high ceilings","Kentron, 2 rm., 80 sq.m., 9/16 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 74 sq.m., 3/18 floor, high ceilings","Davtashen, 3 rm., 74 sq.m., 3/18 floor"
"$2,000 monthly","3 room apartment in a new building on Pavstos Buzand Street, 130 sq.m., 13/18 floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 13/18 floor"
"$1,200 monthly","2 room apartment in a new building on Aram Street, 60 sq.m., 7/18 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 7/18 floor"
"$1,000 monthly","2 room apartment in a new building on Charents Street, 65 sq.m., high ceilings, designer renovation","Kentron, 2 rm., 65 sq.m., 17/17 floor"
"230,000 ֏ monthly","2 room apartment in a new building on Arzumanyan Street, 60 sq.m., 1/12 floor, high ceilings","Ajapnyak, 2 rm., 60 sq.m., 1/12 floor"
"$1,800 monthly","4 room apartment in a new building on Pavstos Buzand Street, 140 sq.m., 12/15 floor, 2 bathrooms","Kentron, 4 rm., 140 sq.m., 12/15 floor"
"230,000 ֏ monthly","2 room apartment in a new building on Shinararner Street, 63 sq.m., 6/12 floor, euro renovation","Ajapnyak, 2 rm., 63 sq.m., 6/12 floor"
"320,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 107 sq.m., 8/16 floor, 2 bathrooms","Ajapnyak, 3 rm., 107 sq.m., 8/16 floor"
"$2,500 monthly","3 room apartment in a new building on Yekmalyan Street, 141 sq.m., 13/18 floor, 2 bathrooms","Kentron, 3 rm., 141 sq.m., 13/18 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Leningradyan Street, 84 sq.m., 2/13 floor, high ceilings","Ajapnyak, 3 rm., 84 sq.m., 2/13 floor"
"$1,200 monthly","3 room apartment in a new building on Nairi Zaryan Street, 120 sq.m., 7/16 floor, 2 bathrooms","Arabkir, 3 rm., 120 sq.m., 7/16 floor"
"240,000 ֏ monthly","3 room apartment on Arzumanyan Street, 78 sq.m., 5/10 floor, major renovation","Ajapnyak, 3 rm., 78 sq.m., 5/10 floor"
"$1,100 monthly","3 room apartment in a new building on Fuchik Street, 105 sq.m., 8/15 floor, 2 bathrooms","Ajapnyak, 3 rm., 105 sq.m., 8/15 floor"
"270,000 ֏ monthly","4 room apartment in Nazarbekyan Quarter, 88 sq.m., 7/9 floor, major renovation","Ajapnyak, 4 rm., 88 sq.m., 7/9 floor"
"230,000 ֏ monthly","3 room apartment on Halabyan Street, 96 sq.m., 5/12 floor, multiple balconies, euro renovation","Ajapnyak, 3 rm., 96 sq.m., 5/12 floor"
"420,000 ֏ monthly","3 room apartment in a new building on Tigran Petrosyan Street, 119 sq.m., 9/16 floor, 2 bathrooms","Davtashen, 3 rm., 119 sq.m., 9/16 floor"
"330,000 ֏ monthly","2 room apartment in a new building on Halabyan Street, 71 sq.m., 10/18 floor, high ceilings","Ajapnyak, 2 rm., 71 sq.m., 10/18 floor"
"320,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 68 sq.m., 10/18 floor, high ceilings","Davtashen, 2 rm., 68 sq.m., 10/18 floor"
"350,000 ֏ monthly","3 room apartment in a new building, Նիկողայոս Ադոնցի փողոց, 102 sq.m., 7/9 floor, 2 bathrooms","Ajapnyak, 3 rm., 102 sq.m., 7/9 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 70 sq.m., 4/18 floor, high ceilings","Davtashen, 3 rm., 70 sq.m., 4/18 floor"
"290,000 ֏ monthly","3 room apartment on Shinararner Street, 73 sq.m., euro renovation, stone building","Ajapnyak, 3 rm., 73 sq.m., 4/4 floor"
"260,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 50 sq.m., 3/15 floor, high ceilings","Ajapnyak, 2 rm., 50 sq.m., 3/15 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 90 sq.m., 7/12 floor, 2 bathrooms","Ajapnyak, 2 rm., 90 sq.m., 7/12 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Leningradyan Street, 62 sq.m., 12/15 floor, high ceilings","Ajapnyak, 2 rm., 62 sq.m., 12/15 floor"
"270,000 ֏ monthly","3 room apartment on Halabyan Street, 71 sq.m., high ceilings, major renovation, stone building","Ajapnyak, 3 rm., 71 sq.m., 4/4 floor"
"580,000 ֏ monthly","3 room apartment in a new building on Amiryan Street, 73 sq.m., 9/12 floor, high ceilings","Kentron, 3 rm., 73 sq.m., 9/12 floor"
